Date Referring,Date Release,WHO Situation Report Number,China Confirmed Cases,China Deaths,Hubei Confirmed Cases,Hubei Deaths,Italy Confirmed Cases,Italy Deaths,Netherlands Confirmed Cases,Netherlands Hospitalized,Netherlands Deaths,Republic of Korea Tested,Republic of Korea Confirmed Cases,Republic of Korea Deaths,Switzerland Confirmed Cases,Switzerland Deaths,Germany Confirmed Cases,Germany Deaths,Japan Confirmed Cases,Japan Deaths,Poland Suspected,Poland Quarantined,Poland Tested Total,Poland Confirmed Cases,Poland Deaths,Denmark Confirmed Cases,Denmark Deaths,Norway Confirmed Cases,Norway Deaths
20/01/20,21/01/20,1,282,6,258,6,0,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21/01/20,22/01/20,2,309,6,270,6,0,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22/01/20,23/01/20,3,571,17,375,17,0,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23/01/20,24/01/20,4,830,25,375,,0,0,0,0,0,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24/01/20,25/01/20,5,1297,41,,39,0,0,0,0,0,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
25/01/20,26/01/20,6,1985,56,,,0,0,0,0,0,,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
26/01/20,27/01/20,7,2741,80,,,0,0,0,0,0,,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
27/01/20,28/01/20,8,4537,106,,,0,0,0,0,0,,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
28/01/20,29/01/20,9,5997,132,,,0,0,0,0,0,,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
29/01/20,30/01/20,10,7736,170,,,0,0,0,0,0,,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
30/01/20,31/01/20,11,9720,213,,,2,0,0,0,0,,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
31/01/20,01/02/20,12,11821,259,7153,,2,0,0,0,0,,12,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
01/02/20,02/02/20,13,14411,304,9074,,2,0,0,0,0,,15,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
02/02/20,03/02/20,14,17238,361,11177,,2,0,0,0,0,,15,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
03/02/20,04/02/20,15,20471,425,13522,,2,0,0,0,0,,16,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
04/02/20,05/02/20,16,24363,491,16678,,2,0,0,0,0,,18,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
05/02/20,06/02/20,17,28060,564,19665,,2,0,0,0,0,,23,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
06/02/20,07/02/20,18,31211,637,22112,,3,0,0,0,0,,24,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
07/02/20,08/02/20,19,34598,723,24953,,3,0,0,0,0,1701,24,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
08/02/20,09/02/20,20,37251,812,27100,,3,0,0,0,0,2775,25,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
09/02/20,10/02/20,21,40235,909,29631,,3,0,0,0,0,3629,27,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
10/02/20,11/02/20,22,42708,1017,31728,,3,0,0,0,0,5074,28,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
11/02/20,12/02/20,23,44730,1114,33366,1068,3,0,0,0,0,5074,28,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
12/02/20,13/02/20,24,46550,1368,34874,,3,0,0,0,0,5797,28,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
13/02/20,14/02/20,25,48548,1381,51986,1318,3,0,0,0,0,6845,28,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0
14/02/20,15/02/20,26,50054,1524,54406,1457,3,0,0,0,0,7519,28,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0
15/02/20,16/02/20,27,51174,1666,56249,1596,3,0,0,0,0,7919,29,0,0,0,0,0,53,1,0,0,0,0,0,0,0,0,0
16/02/20,17/02/20,28,70635,1772,58182,1696,3,0,0,0,0,8171,30,0,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0
17/02/20,18/02/20,29,72528,1870,59989,1789,3,0,0,0,0,9265,31,0,0,0,0,0,66,1,0,0,0,0,0,0,0,0,0
18/02/20,19/02/20,30,74280,2006,61682,1921,3,0,0,0,0,10411,51,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,0
19/02/20,20/02/20,31,74675,2121,62031,2029,3,0,0,0,0,12161,104,1,0,0,0,0,84,1,0,0,0,0,0,0,0,0,0
20/02/20,21/02/20,32,75569,2239,62662,2144,3,0,0,0,0,14816,204,2,0,0,0,0,93,1,0,0,0,0,0,0,0,0,0
21/02/20,22/02/20,33,76392,2348,63454,2250,9,3,0,0,0,19621,433,2,0,0,0,0,105,1,0,0,0,0,0,0,0,0,0
